Product Name,Brand,BF SKU,Pregnancy Safe,Redness/ Rosacea,Psoriasis,Oiliness,Hyperpigmentation,Fine Lines,Dull Skin,Dark Circles,Anti Pollution,White / Blackheads,Sensitive Skin,Dry Skin,Acne / Blemish
Hyaluronic Acid Serum,ByTHE INKEY LIST,7165,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Collagen Booster,ByTHE INKEY LIST,7164,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100% Cold-Pressed Virgin Marula Oil,ByThe Ordinary,6830,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'Buffet' + Copper Peptides 1%,ByThe Ordinary,6789,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Natural Moisturizing Factors + HA,ByThe Ordinary,6754,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Marine Hyaluronics,ByThe Ordinary,6728,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mandelic Acid 10% + HA,ByThe Ordinary,6727,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
EUK 134 0.1%,ByThe Ordinary,6263,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Resveratrol 3% + Ferulic Acid 3%,ByThe Ordinary,6262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Granactive Retinoid 5% in Squalane,ByThe Ordinary,6189,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Vitamin C Suspension 30% in Silicone,ByThe Ordinary,5992,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Lactic Acid 5% + HA,ByThe Ordinary,5991,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Lactic Acid 10% + HA,ByThe Ordinary,5990,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ascorbyl Glucoside Solution 12%,ByThe Ordinary,5988,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Argireline Solution 10%,ByThe Ordinary,5987,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AHA 30% + BHA 2% Peeling Solution,ByThe Ordinary,5985,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Azelaic Acid Suspension 10%,ByThe Ordinary,5983,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Ascorbyl Tetraisopalmitate Solution 20% in Vitamin F,ByThe Ordinary,5982,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flavanone Mud,ByNIOD,5837,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sanskrit Saponins,ByNIOD,5836,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Lip Bio-Lipid Concentrate,ByNIOD,5829,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Low-Viscosity Cleaning Ester,ByNIOD,5828,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Flavanone Mud,ByNIOD,5827,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Hydration Vaccine,ByNIOD,5825,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Multi-Molecular Hyaluronic Complex MMHC2,ByNIOD,5823,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Mastic Must,ByNIOD,5821,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Multi-Molecular Hyaluronic Complex MMHC2,ByNIOD,5819,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
